Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
1,383.7611,383.7611,0.9875,92.8704,97.4907,98.1065,1.8293,1,1,207,1332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9380,0.9499,0.9987,1.0528,85.1212,1.0000,2023-03-14,22.1047,23.2219,22.1047,100.3696,2.2190,1.0000,25.0000,0.0000,0.0000,1.0102,0.0000,1.0000,24.4467,24.4467,Dag_20230314_1m_4x-01_000001.tif,27,27,0,0,96.1806,24.6955,64DB5DBF-4919-42D5-B764-779541B2A3F2,1,97.7868,0.9526,1.0564,1.0063,1.1488,0.0000,0.0000,0.0000,31.7859,12,0.0000,0,0.0000,0.0000,20775.0000,0.9058,15:06:22,2023-03-14T15:06:22.799,0.0481,5.655295e+03,6.556839e+03,22.8663
2,1407.2423,1407.2423,0.7233,126.1150,135.7550,140.4550,1.8293,1,1,814,571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0998,0.2635,10.0151,333.5234,0.2994,2023-03-14,42.3291,102.3392,42.3291,39.3833,2.2190,29.4292,0.0000,-85.0000,1.0287,0.4929,0.0000,0.0340,243.0804,8.2598,Dag_20230314_1m_4x-01_000001.tif,55,80,29,0,133.4117,119.8191,CBCA5AE1-0C51-4F4C-B80E-56EFF323F767,1,502.6805,0.9290,1.1137,1.0346,1.5072,0.0000,0.0000,0.0000,13.9829,12,0.0000,0,0.0000,0.0000,80047.0000,0.1786,15:06:22,2023-03-14T15:06:22.799,0.5864,3.971158e+04,5.612086e+05,66.7694
3,688.3453,688.3453,0.5723,73.4226,81.1756,86.3542,1.8293,1,1,935,1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6080,0.6664,0.8128,1.5006,122.6576,0.9897,2023-03-14,29.6045,35.0108,29.6045,170.0441,2.3750,2.2745,-90.0000,0.0000,0.1764,0.8501,0.0000,0.4397,50.5706,22.2336,Dag_20230314_1m_4x-01_000001.tif,38,27,111,0,79.4464,42.9885,B0B9BF53-4838-478C-8A16-DE4225D550BF,1,145.6086,0.9045,1.1761,1.0638,1.1871,0.0000,0.0000,0.0000,34.8414,13,0.0000,0,0.0000,0.0000,26694.0000,0.5442,15:06:22,2023-03-14T15:06:22.964,0.1544,1.358543e+04,2.247003e+04,22.8663
4,625.8299,625.8299,0.9032,100.7628,110.6506,114.3814,1.8293,1,1,879,1460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8775,0.9416,0.9839,1.0620,105.1305,1.0000,2023-03-14,28.2282,29.8278,28.2282,57.7091,2.3750,1.0000,-70.0000,25.0000,0.0000,1.1468,0.0000,1.0000,29.5098,29.5098,Dag_20230314_1m_4x-01_000001.tif,31,30,140,0,108.1122,33.8421,452FFD9D-8735-4854-AAB1-50DD27BF9B4F,1,118.0391,0.9106,1.1352,1.0337,1.1228,0.0000,0.0000,0.0000,29.5475,13,0.0000,0,0.0000,0.0000,33731.0000,0.7887,15:06:22,2023-03-14T15:06:22.964,0.0536,1.177737e+04,1.389505e+04,26.5249
5,1969.6212,1969.6212,0.6182,122.8283,130.5150,134.0602,1.8293,1,1,454,520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1188,0.1238,0.4048,8.0791,282.4564,0.4767,2023-03-14,50.0779,86.1295,50.0779,56.5148,2.3750,23.3384,-90.0000,-10.0000,1.2557,0.4433,0.0000,0.0428,249.6443,10.6967,Dag_20230314_1m_4x-01_000001.tif,75,52,172,0,128.6053,110.6726,907A4A80-AC3A-4689-A2B5-C225009E6E38,1,520.6820,0.9411,1.0914,1.0272,1.8434,0.0000,0.0000,0.0000,16.8566,13,0.0000,0,0.0000,0.0000,102627.0000,0.2224,15:06:22,2023-03-14T15:06:22.964,0.4186,6.575637e+04,3.345454e+05,66.7694
6,2981.6284,2984.5805,0.7153,121.4751,130.1633,133.8017,1.8293,1,1,788,412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0586,0.1016,0.3926,9.8471,387.8970,0.3520,2023-03-14,61.6143,119.7683,61.6448,42.3135,2.3750,28.9011,-80.0000,-10.0000,1.5102,0.3984,0.0000,0.0346,332.9158,11.5191,Dag_20230314_1m_4x-01_000001.tif,85,71,226,0,127.9817,132.6242,3ACD7091-3480-45AE-B1B4-029FB2A8E9BA,1,688.8699,0.9333,1.1015,1.0280,1.7759,0.0000,0.0000,0.0000,18.3301,13,0.0000,0,0.0000,0.0000,146539.0000,0.2504,15:06:22,2023-03-14T15:06:22.964,0.4856,1.224740e+05,8.995487e+05,97.8675
7,1491.4873,1511.2001,0.5843,112.5651,124.2381,129.3683,1.8293,1,1,713,386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0716,0.2606,13.9724,311.6577,0.3331,2023-03-14,43.5778,95.3777,43.8648,106.5267,2.3750,41.8716,-85.0000,10.0000,1.3165,0.4317,0.0000,0.0239,298.7546,7.1350,Dag_20230314_1m_4x-01_000001.tif,84,53,299,0,121.3286,128.9656,B70BC166-B7B3-49A8-88F9-D7AC38B79D69,1,611.7793,0.9060,1.1493,1.0413,1.9630,0.0000,0.0000,0.0000,20.2180,13,0.0000,0,0.0000,0.0000,76437.0000,0.3002,15:06:22,2023-03-14T15:06:22.964,0.5431,4.333044e+04,4.542958e+05,66.7694
8,3040.7016,3064.3497,0.6557,82.6403,90.6833,93.2824,1.8293,1,1,915,981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3520,0.3536,0.7736,2.8279,259.4611,0.7931,2023-03-14,62.2217,78.6091,62.4632,73.0795,2.5470,6.7356,-50.0000,55.0000,0.7957,0.5569,0.0000,0.1485,162.6004,24.1405,Dag_20230314_1m_4x-01_000001.tif,54,60,354,0,88.5708,90.5503,73BCCB3C-EF49-4BB3-B2D3-67E0816312B0,1,373.4818,0.9113,1.1288,1.0287,1.4395,0.0000,0.0000,0.0000,39.3615,14,0.0000,0,0.0000,0.0000,103185.0000,0.1745,15:06:23,2023-03-14T15:06:23.131,0.2085,1.261318e+05,2.543413e+05,64.9402
9,1678.1281,1680.9687,0.3295,114.1753,121.0014,124.8060,1.8293,1,1,633,276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1120,0.2539,8.9322,325.3617,0.4458,2023-03-14,46.2240,99.7985,46.2631,93.2348,2.5470,26.0230,55.0000,-30.0000,0.7378,0.5754,0.0000,0.0384,246.3655,9.4672,Dag_20230314_1m_4x-01_000001.tif,82,61,416,0,119.3836,141.7707,41278374-CFAC-451E-97A7-8CE8CEE22A6E,1,511.6655,0.9436,1.0931,1.0314,1.5726,0.0000,0.0000,0.0000,23.1067,14,0.0000,0,0.0000,0.0000,83091.0000,0.2399,15:06:23,2023-03-14T15:06:23.131,0.5368,5.171320e+04,5.204396e+05,46.6471
10,2336.8233,2336.8233,0.5909,107.0984,105.3362,110.2011,1.8293,1,1,386,1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0360,0.0488,0.3568,20.4852,355.5748,0.3347,2023-03-14,54.5466,109.3515,54.5466,177.7215,2.7190,62.3400,25.0000,-80.0000,2.2671,0.3061,0.0000,0.0160,439.2777,7.0465,Dag_20230314_1m_4x-01_000001.tif,63,83,479,0,106.4195,134.4536,85F0980A-A158-44CC-B90A-9E9EF2D4A26F,1,892.6484,1.0167,1.0290,1.0462,2.5104,0.0000,0.0000,0.0000,27.1791,15,0.0000,0,0.0000,0.0000,98438.0000,0.2867,15:06:23,2023-03-14T15:06:23.299,0.5012,8.497724e+04,6.846565e+05,79.5746
