017
num-fields|65
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
avg_red|double
avg_green|double
avg_blue|double
ch1_peak|double
ch1_width|double
ch1_area|double
ch2_peak|double
ch2_width|double
ch2_area|double
ch3_peak|double
ch3_width|double
ch3_area|double
timestamp|timestamp
collage_file|string
image_id|guid
1|0|0|27|27|207|1332|12|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|216.0000|18.0000|17.0000|17.1944|53.4558|51.0321|16.6988|16.4893|383.7611|22.1047|24.6955|22.8663|23.2219|22.1047|97.7868|85.1212|96.1806|31.7859|20775.0000|1.0528|1.0000|1.1488|100.3696|2.2190|0.9380|0.9058|0.9987|0.0000|202.0000|216.0000|383.7611|25.0000|0.0000|98.1065|97.4907|92.8704|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:22.799|Dag_20230314_1m_4x-01_000001.tif|64DB5DBF-4919-42D5-B764-779541B2A3F2
2|29|0|80|55|814|571|12|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|600.0000|70.0000|41.0000|60.4444|274.7939|186.8230|61.7001|44.6272|1407.2423|42.3291|119.8191|66.7694|102.3392|42.3291|502.6805|333.5234|133.4117|13.9829|80047.0000|10.0151|29.4292|1.5072|39.3833|2.2190|0.0000|0.1786|0.2635|0.0000|2004.0000|600.0000|1407.2423|0.0000|-85.0000|140.4550|135.7550|126.1150|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:22.799|Dag_20230314_1m_4x-01_000001.tif|CBCA5AE1-0C51-4F4C-B80E-56EFF323F767
3|111|0|27|38|935|1714|13|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|336.0000|28.0000|17.0000|23.6389|79.5980|71.5517|28.1603|16.1150|688.3453|29.6045|42.9885|22.8663|35.0108|29.6045|145.6086|122.6576|79.4464|34.8414|26694.0000|1.5006|2.2745|1.1871|170.0441|2.3750|0.6080|0.5442|0.8128|0.0000|339.5000|336.0000|688.3453|-90.0000|0.0000|86.3542|81.1756|73.4226|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:22.964|Dag_20230314_1m_4x-01_000001.tif|B0B9BF53-4838-478C-8A16-DE4225D550BF
4|140|0|30|31|879|1460|13|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|312.0000|23.0000|19.0000|20.8056|64.5269|61.9703|21.0890|19.0469|625.8299|28.2282|33.8421|26.5249|29.8278|28.2282|118.0391|105.1305|108.1122|29.5475|33731.0000|1.0620|1.0000|1.1228|57.7091|2.3750|0.8775|0.7887|0.9839|0.0000|293.5000|312.0000|625.8299|-70.0000|25.0000|114.3814|110.6506|100.7628|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:22.964|Dag_20230314_1m_4x-01_000001.tif|452FFD9D-8735-4854-AAB1-50DD27BF9B4F
5|172|0|52|75|454|520|13|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|798.0000|65.0000|41.0000|51.5833|284.6346|158.9068|60.2638|37.2567|1969.6212|50.0779|110.6726|66.7694|86.1295|50.0779|520.6820|282.4564|128.6053|16.8566|102627.0000|8.0791|23.3384|1.8434|56.5148|2.3750|0.1188|0.2224|0.4048|0.0000|1674.0000|798.0000|1969.6212|-90.0000|-10.0000|134.0602|130.5150|122.8283|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:22.964|Dag_20230314_1m_4x-01_000001.tif|907A4A80-AC3A-4689-A2B5-C225009E6E38
6|226|0|71|85|788|412|13|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|1145.0000|77.0000|58.0000|69.9722|376.5757|216.5467|70.1267|50.1629|2981.6284|61.6143|132.6242|97.8675|119.7683|61.6448|688.8699|387.8970|127.9817|18.3301|146539.0000|9.8471|28.9011|1.7759|42.3135|2.3750|0.0586|0.2504|0.3926|0.0000|3256.0000|1146.0000|2984.5805|-80.0000|-10.0000|133.8017|130.1633|121.4751|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:22.964|Dag_20230314_1m_4x-01_000001.tif|3ACD7091-3480-45AE-B1B4-029FB2A8E9BA
7|299|0|53|84|713|386|13|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|630.0000|75.0000|41.0000|56.6389|334.4335|174.8699|68.1187|39.7992|1491.4873|43.5778|128.9656|66.7694|95.3777|43.8648|611.7793|311.6577|121.3286|20.2180|76437.0000|13.9724|41.8716|1.9630|106.5267|2.3750|0.0000|0.3002|0.2606|0.0000|1912.5000|637.0000|1511.2001|-85.0000|10.0000|129.3683|124.2381|112.5651|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:22.964|Dag_20230314_1m_4x-01_000001.tif|B70BC166-B7B3-49A8-88F9-D7AC38B79D69
8|354|0|60|54|915|981|14|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|1165.0000|54.0000|40.0000|47.4722|204.1665|146.3363|51.9635|34.0704|3040.7016|62.2217|90.5503|64.9402|78.6091|62.4632|373.4818|259.4611|88.5708|39.3615|103185.0000|2.8279|6.7356|1.4395|73.0795|2.5470|0.3520|0.1745|0.7736|0.0000|1479.0000|1173.0000|3064.3497|-50.0000|55.0000|93.2824|90.6833|82.6403|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:23.131|Dag_20230314_1m_4x-01_000001.tif|73BCCB3C-EF49-4BB3-B2D3-67E0816312B0
9|416|0|61|82|633|276|14|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|696.0000|82.0000|30.0000|59.0556|279.7056|182.3613|79.4152|26.1683|1678.1281|46.2240|141.7707|46.6471|99.7985|46.2631|511.6655|325.3617|119.3836|23.1067|83091.0000|8.9322|26.0230|1.5726|93.2348|2.5470|0.0000|0.2399|0.2539|0.0000|1563.5000|697.0000|1680.9687|55.0000|-30.0000|124.8060|121.0014|114.1753|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:23.131|Dag_20230314_1m_4x-01_000001.tif|41278374-CFAC-451E-97A7-8CE8CEE22A6E
10|479|0|83|63|386|1300|15|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|925.0000|78.0000|48.0000|64.2778|487.9727|198.8775|69.9549|41.3350|2336.8233|54.5466|134.4536|79.5746|109.3515|54.5466|892.6484|355.5748|106.4195|27.1791|98438.0000|20.4852|62.3400|2.5104|177.7215|2.7190|0.0360|0.2867|0.3568|0.0000|2763.5000|925.0000|2336.8233|25.0000|-80.0000|110.2011|105.3362|107.0984|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T15:06:23.299|Dag_20230314_1m_4x-01_000001.tif|85F0980A-A158-44CC-B90A-9E9EF2D4A26F
