017
num-fields|65
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
avg_red|double
avg_green|double
avg_blue|double
ch1_peak|double
ch1_width|double
ch1_area|double
ch2_peak|double
ch2_width|double
ch2_area|double
ch3_peak|double
ch3_width|double
ch3_area|double
timestamp|timestamp
collage_file|string
image_id|guid
1|2|2|36|64|682|380|247|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|383.0000|55.0000|23.0000|40.5556|145.9239|124.1742|56.4215|21.5165|812.5247|32.1642|92.3796|33.8421|65.9565|32.1642|266.9386|218.9200|132.3133|14.9473|50676.0000|4.4243|11.8147|1.2193|39.2185|41.4060|0.0829|0.2684|0.2675|0.0000|726.0000|383.0000|812.5247|-85.0000|5.0000|138.9217|134.6475|125.2507|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:07:01.988|Dag_20230314_1m_4x-01_ast_images_000001.tif|EF33E746-9C0B-4E0A-9CD2-F120BF07B94C
2|40|2|76|76|641|844|261|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|818.0000|76.0000|64.0000|70.9167|540.3818|219.8909|61.9298|61.0240|2027.1581|50.8041|130.7950|108.8434|121.4961|50.9123|988.5204|394.0146|119.4707|20.7307|97727.0000|28.3040|86.9083|2.5088|138.5000|43.7340|0.0000|0.1540|0.2766|0.0000|3500.5000|821.0000|2035.7985|-50.0000|85.0000|127.5196|120.3423|114.6834|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:07:04.324|Dag_20230314_1m_4x-01_ast_images_000001.tif|D9318C53-E312-4BC8-B4F2-EAA15DD798E7
3|118|2|82|45|546|1534|28|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|723.0000|74.0000|35.0000|57.5833|354.2914|177.5669|71.1208|28.3052|1754.9512|47.2702|127.1363|55.7936|97.1053|47.3469|648.1053|316.5913|103.9225|31.8449|75136.0000|13.7776|41.2593|2.0471|159.0426|4.8750|0.0067|0.1981|0.3151|0.0000|1827.0000|725.0000|1760.6519|-20.0000|-90.0000|108.2061|104.4302|101.2877|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:25.465|Dag_20230314_1m_4x-01_ast_images_000001.tif|A8A2D59B-4D2E-4CD6-A78F-8E356F975E0A
4|202|2|42|91|956|1276|33|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|474.0000|81.0000|32.0000|57.0000|277.9239|175.9272|72.9370|29.0350|1058.2915|36.7077|139.9415|50.3057|96.0382|36.7077|508.4062|313.5918|111.5907|23.8335|52894.0000|12.9677|38.7135|1.6212|161.0797|5.7190|0.0000|0.1062|0.1959|0.0000|1403.5000|474.0000|1058.2915|-90.0000|0.0000|117.9325|111.9346|108.4388|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:26.300|Dag_20230314_1m_4x-01_ast_images_000001.tif|8039C6DC-045E-48F9-8DF8-36C702A753E8
5|246|2|89|93|195|840|153|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|1366.0000|87.0000|79.0000|82.1389|633.5118|254.8858|71.2308|69.3578|3637.8523|68.0578|150.9172|136.2828|142.0248|68.5310|1158.8831|458.0307|125.1852|21.1154|171003.0000|23.0928|70.5341|2.5301|92.1359|25.7340|0.0025|0.2215|0.3563|0.0000|4878.0000|1383.0000|3688.6207|70.0000|0.0000|130.5300|126.6083|120.3023|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:46.313|Dag_20230314_1m_4x-01_ast_images_000001.tif|07D80D42-DAE2-4912-B7E5-E3CFF49748E7
6|337|2|85|83|288|328|206|1|2|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|1435.0000|79.0000|73.0000|76.3889|569.5706|237.0504|67.1957|65.3364|3844.1422|69.9608|136.2828|125.3070|131.5064|70.0697|1041.9155|425.4044|129.0627|17.6838|185205.0000|17.9401|54.3420|2.4492|58.1180|34.5620|0.0743|0.2196|0.4172|0.0000|4222.0000|1439.0000|3856.1194|-70.0000|-90.0000|134.9324|130.7596|123.5164|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:55.152|Dag_20230314_1m_4x-01_ast_images_000001.tif|74FB7FF1-533E-4A47-9409-08E3FEDB58A3
7|424|2|68|83|711|1367|278|1|2|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|940.0000|77.0000|36.0000|60.7500|325.8478|187.8701|75.1593|30.3374|2380.4630|55.0536|132.6242|57.6229|102.8981|55.0873|596.0734|335.4389|121.9053|23.9730|114591.0000|8.9790|26.1703|1.7770|75.0515|46.5780|0.0537|0.2112|0.3648|0.0000|2095.5000|941.0000|2383.3742|-70.0000|35.0000|126.1202|123.2915|117.6117|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:07:07.161|Dag_20230314_1m_4x-01_ast_images_000001.tif|F8938628-2B62-45CD-A7A0-B1850592BB31
8|494|2|74|51|851|1613|39|1|2|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|834.0000|68.0000|33.0000|52.7778|271.4214|162.6889|64.6470|26.7736|2073.2699|51.3787|116.1606|52.1350|88.3146|51.4144|496.5112|289.3750|118.8537|27.1162|99124.0000|7.0209|20.0068|1.7158|84.2957|6.7190|0.1331|0.2026|0.4343|0.0000|1653.5000|835.0000|2076.1543|-25.0000|65.0000|122.5803|119.9137|115.3969|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:27.300|Dag_20230314_1m_4x-01_ast_images_000001.tif|524B9D90-0D8F-45BD-A8C1-D8584A5BF49A
9|570|2|47|82|577|100|163|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|422.0000|72.0000|32.0000|56.7222|303.3625|174.8773|70.6523|29.4470|917.0820|34.1711|123.4778|50.3057|95.5301|34.1711|554.9410|311.6712|119.9834|20.0748|50633.0000|17.3541|52.5004|1.7805|143.5992|27.3910|0.0000|0.0439|0.1834|0.0000|1700.5000|422.0000|917.0820|-90.0000|5.0000|127.1730|119.4882|118.1114|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:47.980|Dag_20230314_1m_4x-01_ast_images_000001.tif|2C8686CC-DA0D-4CD4-B73B-2CEF4085C4A1
10|619|2|89|92|387|812|166|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|1162.0000|85.0000|79.0000|82.5833|650.3818|256.1111|71.1521|68.5732|3031.8363|62.1309|147.2586|136.2828|142.8378|62.7339|1189.7434|460.2722|110.7453|24.9482|128686.0000|28.4780|87.4548|2.5849|172.1941|27.8910|0.0000|0.3816|0.3082|0.0000|4973.0000|1182.0000|3090.9666|60.0000|0.0000|116.9604|111.3606|107.1540|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:48.480|Dag_20230314_1m_4x-01_ast_images_000001.tif|C4A293A5-62D1-4A62-9273-29E60EAFA9AF
