017
num-fields|65
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
avg_red|double
avg_green|double
avg_blue|double
ch1_peak|double
ch1_width|double
ch1_area|double
ch2_peak|double
ch2_width|double
ch2_area|double
ch3_peak|double
ch3_width|double
ch3_area|double
timestamp|timestamp
collage_file|string
image_id|guid
1|2|2|34|73|297|982|120|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|458.0000|63.0000|24.0000|44.7500|212.8944|137.6940|58.6971|20.9219|1014.6418|35.9428|107.0140|35.6713|73.6293|35.9428|389.4477|243.6518|115.0961|25.3408|52714.0000|7.8750|22.6961|1.5984|140.4972|20.2190|0.0000|0.0787|0.3004|0.0000|885.5000|458.0000|1014.6418|-90.0000|0.0000|119.8996|115.7358|112.0262|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:40.813|Dag_20230314_1m_4x-01_ast_plus_images_000001.tif|23EEBF30-9E95-4F61-962D-931320502579
2|38|2|48|55|260|251|430|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|455.0000|52.0000|23.0000|40.6389|187.7817|124.4607|52.7501|21.9532|1006.4766|35.7978|86.8918|33.8421|66.1089|35.9428|343.5091|219.4441|118.9033|24.5355|54101.0000|6.1268|17.1896|1.5654|112.5939|71.9220|0.0840|0.1033|0.3573|0.0000|850.0000|458.0000|1014.6418|-55.0000|30.0000|124.3560|119.8791|114.9516|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:07:32.510|Dag_20230314_1m_4x-01_ast_plus_images_000001.tif|CF6857CE-4D9C-4B21-AEC3-3125F9536D60
