017
num-fields|65
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
avg_red|double
avg_green|double
avg_blue|double
ch1_peak|double
ch1_width|double
ch1_area|double
ch2_peak|double
ch2_width|double
ch2_area|double
ch3_peak|double
ch3_width|double
ch3_area|double
timestamp|timestamp
collage_file|string
image_id|guid
1|2|2|26|27|917|1369|172|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|189.0000|19.0000|13.0000|16.4444|50.8701|48.8708|18.7002|12.9441|318.7450|20.1454|26.5249|15.5490|21.8499|20.1454|93.0567|81.1675|126.7460|17.8043|23955.0000|1.0896|1.0000|1.1465|47.6977|28.8910|0.7955|0.9299|0.9305|0.0000|174.5000|189.0000|318.7450|-65.0000|35.0000|130.6243|128.7302|121.1852|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:49.482|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|B7D927B3-74F3-41C3-802E-1C640421FDE4
2|30|2|87|87|638|298|249|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|4568.0000|79.0000|76.0000|77.1111|254.9361|239.3252|76.5133|76.0219|13535.3626|131.2774|136.2828|130.7950|132.8275|131.2774|466.3546|429.5657|25.3544|26.6329|115819.0000|1.1322|1.0000|1.0856|236.7546|41.7340|0.9644|0.9568|0.9999|0.0000|4529.5000|4568.0000|13535.3626|-40.0000|45.0000|24.7465|25.2971|25.4236|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:07:02.322|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|DAB84F01-9EF4-4EF7-AF4A-67D870C04FFC
3|119|2|21|106|376|716|166|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|441.0000|97.0000|7.0000|62.5556|207.1543|193.0236|102.2426|5.5912|968.4552|35.1152|169.2103|6.4025|106.2011|35.1152|378.9474|344.8662|100.4240|28.9135|44287.0000|7.7435|22.2822|1.0988|160.5079|27.8910|0.0000|0.7213|0.1071|0.0000|436.0000|441.0000|968.4552|85.0000|-5.0000|106.9592|102.2132|94.4354|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:48.480|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|8F66B1DE-98F9-41D7-8DCC-623D9AEEB3EB
4|142|2|27|27|207|1332|12|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|216.0000|18.0000|17.0000|17.1944|53.4558|51.0321|16.6988|16.4893|383.7611|22.1047|24.6955|22.8663|23.2219|22.1047|97.7867|85.1212|96.1806|31.7859|20775.0000|1.0528|1.0000|1.1488|100.3696|2.2190|0.9380|0.9058|0.9987|0.0000|202.0000|216.0000|383.7611|25.0000|0.0000|98.1065|97.4907|92.8704|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:22.799|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|64DB5DBF-4919-42D5-B764-779541B2A3F2
5|171|2|17|122|483|481|69|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|572.0000|112.0000|7.0000|72.9722|253.4386|225.8272|112.9923|6.7444|1328.9820|41.1353|196.6497|6.4025|125.2562|41.1784|463.6152|404.8738|113.6014|28.1994|64980.0000|8.9203|25.9856|1.1451|86.7642|11.7190|0.0000|0.6165|0.1139|0.0000|568.5000|573.0000|1331.7706|-90.0000|0.0000|120.3969|115.3671|107.5839|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:32.303|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|D9A5F18F-020C-4D65-B978-D24F51A0DCFE
6|190|2|26|25|397|554|216|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|188.0000|17.0000|15.0000|16.0278|49.4558|47.0837|15.6056|15.3492|316.3706|20.0703|22.8663|19.2077|21.0878|20.0703|90.4695|77.8984|98.8670|26.3335|18587.0000|1.0353|1.0000|1.1614|126.9762|36.2340|0.9423|0.8913|0.9992|0.0000|172.0000|188.0000|316.3706|10.0000|-90.0000|101.2021|100.4840|94.8670|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:56.821|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|6DCE5F5F-B28B-4647-84DB-0569298171F2
7|218|2|29|29|433|1229|51|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|290.0000|22.0000|19.0000|20.1667|64.2843|60.1590|19.4690|19.0492|569.1359|26.9193|32.0127|26.5249|28.6591|26.9193|117.5953|101.8170|88.7897|37.3206|25749.0000|1.1340|1.0000|1.1550|89.0179|8.7190|0.8995|0.8350|0.9954|0.0000|274.5000|290.0000|569.1359|-50.0000|0.0000|92.5621|90.6241|83.7103|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:29.302|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|7872765A-AE5F-4381-A9E3-D3C87204335F
8|249|2|33|200|881|1426|235|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|511.0000|190.0000|20.0000|123.4167|435.4630|384.6594|216.8928|14.6360|1159.8523|38.4288|339.3351|28.3541|217.5343|38.4288|796.5925|695.4256|133.0900|12.4106|68009.0000|29.5306|90.7620|1.1455|86.0543|39.4060|0.0000|0.2368|0.0275|0.0000|2086.5000|511.0000|1159.8523|-90.0000|5.0000|141.4736|132.3425|131.4031|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:59.988|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|8B927C29-CF53-4DF8-951D-A62BB2A131C8
9|284|2|26|27|763|354|188|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|208.0000|18.0000|16.0000|16.8611|51.4558|49.7936|16.4765|16.0880|364.3232|21.5377|24.6955|21.0369|22.6122|21.5377|94.1281|82.8556|94.7548|27.6455|19709.0000|1.0130|1.0000|1.1361|137.2045|31.5620|0.9420|0.8944|0.9988|0.0000|191.0000|208.0000|364.3232|60.0000|0.0000|99.3173|96.9519|88.6971|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:52.149|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|DC70AA6D-E5EA-4C8B-A0DF-5764B20F9C39
10|312|2|66|61|830|591|46|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|335.0000|73.0000|7.0000|48.6944|156.1076|149.8564|80.8384|5.5725|685.7276|29.5482|125.3070|6.4025|80.8448|29.6608|285.5676|265.9005|107.0119|29.3947|35849.0000|5.7545|16.0159|1.0740|171.0847|7.8750|0.0000|0.6999|0.1307|0.0000|361.0000|337.0000|690.9641|35.0000|-50.0000|111.8149|107.9493|103.3194|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2023-03-14T16:06:28.469|Dag_20230314_1m_4x-01_rest_1_images_000001.tif|88EB42FE-599E-4C32-8775-5DC757E531DF
