Name,Date,Time,CollageFile,ImageFilename,Id,GroupId,Uuid,SrcImage,SrcX,SrcY,ImageX,ImageY,ImageW,ImageH,Timestamp,ElapsedTime,CalConst,CalImage,AbdArea,AbdDiameter,AbdVolume,AspectRatio,AvgBlue,AvgGreen,AvgRed,BiovolumeCylinder,BiovolumePSpheroid,BiovolumeSphere,Ch1Area,Ch1Peak,Ch1Width,Ch2Area,Ch2Ch1Ratio,Ch2Peak,Ch2Width,Ch3Area,Ch3Peak,Ch3Width,CircleFit,Circularity,CircularityHu,Compactness,ConvexPerimeter,Convexity,EdgeGradient,Elongation,EsdDiameter,EsdVolume,FdDiameter,FeretMaxAngle,FeretMinAngle,FiberCurl,FiberStraightness,FilledArea,FilterScore,GeodesicAspectRatio,GeodesicLength,GeodesicThickness,Intensity,Length,Perimeter,Ppc,RatioBlueGreen,RatioRedBlue,RatioRedGreen,Roughness,ScatterArea,ScatterPeak,SigmaIntensity,SphereComplement,SphereCount,SphereUnknown,SphereVolume,SumIntensity,Symmetry,Transparency,Width,Preprocessing,PreprocessingTrue,LabelPredicted,ProbabilityScore,LabelTrue
Dag_20230314_1m_4x-01,2023-03-14,15:06:22,Dag_20230314_1m_4x-01_000001.tif,,1,,64DB5DBF-4919-42D5-B764-779541B2A3F2,12,207,1332,0,0,27,27,2023-03-14 15:06:22.799000,2.219,1.8293,1,383.7611,22.1047,5655.295,0.9875,92.8704,97.4907,98.1065,,,7127.082203083822,3096.7121681711164,0,0,0,0,0,0,,,,0.938,0.9499,0.9987,1.0528,85.1212,1.0,100.3696,1.0,23.2219,6556.839,22.1047,25,0,0.0,1.0102,383.7611,0,1.0,24.4467,24.4467,96.1806,24.6955,97.7868,1,,,,1.1488,0,0,31.7859,0,0,0,0,20775,0.9058,0.0481,22.8663,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:22,Dag_20230314_1m_4x-01_000001.tif,,2,,CBCA5AE1-0C51-4F4C-B80E-56EFF323F767,12,814,571,29,0,80,55,2023-03-14 15:06:22.799000,2.219,1.8293,1,1407.2423,42.3291,39711.58,0.7233,126.115,135.755,140.455,,,47824.57158363838,20064.548817916395,0,0,0,0,0,0,,,,0.0,0.0998,0.2635,10.0151,333.5234,0.2994,39.3833,29.4292,102.3392,561208.6,42.3291,0,-85,1.0287,0.4929,1407.2423,0,0.034,243.0804,8.2598,133.4117,119.8191,502.6805,1,,,,1.5072,0,0,13.9829,0,0,0,0,80047,0.1786,0.5864,66.7694,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:22,Dag_20230314_1m_4x-01_000001.tif,,3,,B0B9BF53-4838-478C-8A16-DE4225D550BF,13,935,1714,111,0,27,38,2023-03-14 15:06:22.964000,2.375,1.8293,1,688.3453,29.6045,13585.43,0.5723,73.4226,81.1756,86.3542,,,20998.794740179954,7431.205699978206,0,0,0,0,0,0,,,,0.608,0.6664,0.8128,1.5006,122.6576,0.9897,170.0441,2.2745,35.0108,22470.03,29.6045,-90,0,0.1764,0.8501,688.3453,0,0.4397,50.5706,22.2336,79.4464,42.9885,145.6086,1,,,,1.1871,0,0,34.8414,0,0,0,0,26694,0.5442,0.1544,22.8663,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:22,Dag_20230314_1m_4x-01_000001.tif,,4,,452FFD9D-8735-4854-AAB1-50DD27BF9B4F,13,879,1460,140,0,30,31,2023-03-14 15:06:22.964000,2.375,1.8293,1,625.8299,28.2282,11777.37,0.9032,100.7628,110.6506,114.3814,,,11332.279415718665,4556.039902854243,0,0,0,0,0,0,,,,0.8775,0.9416,0.9839,1.062,105.1305,1.0,57.7091,1.0,29.8278,13895.05,28.2282,-70,25,0.0,1.1468,625.8299,0,1.0,29.5098,29.5098,108.1122,33.8421,118.0391,1,,,,1.1228,0,0,29.5475,0,0,0,0,33731,0.7887,0.0536,26.5249,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:22,Dag_20230314_1m_4x-01_000001.tif,,5,,907A4A80-AC3A-4689-A2B5-C225009E6E38,13,454,520,172,0,52,75,2023-03-14 15:06:22.964000,2.375,1.8293,1,1969.6212,50.0779,65756.37,0.6182,122.8283,130.515,134.0602,,,50435.69541356597,20274.30453561842,0,0,0,0,0,0,,,,0.1188,0.1238,0.4048,8.0791,282.4564,0.4767,56.5148,23.3384,86.1295,334545.4,50.0779,-90,-10,1.2557,0.4433,1969.6212,0,0.0428,249.6443,10.6967,128.6053,110.6726,520.682,1,,,,1.8434,0,0,16.8566,0,0,0,0,102627,0.2224,0.4186,66.7694,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:22,Dag_20230314_1m_4x-01_000001.tif,,6,,3ACD7091-3480-45AE-B1B4-029FB2A8E9BA,13,788,412,226,0,71,85,2023-03-14 15:06:22.964000,2.375,1.8293,1,2981.6284,61.6143,122474.0,0.7153,121.4751,130.1633,133.8017,,,68476.79820728966,28862.210912830633,0,0,0,0,0,0,,,,0.0586,0.1016,0.3926,9.8471,387.897,0.352,42.3135,28.9011,119.7683,899548.7,61.6448,-80,-10,1.5102,0.3984,2984.5805,0,0.0346,332.9158,11.5191,127.9817,132.6242,688.8699,1,,,,1.7759,0,0,18.3301,0,0,0,0,146539,0.2504,0.4856,97.8675,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:22,Dag_20230314_1m_4x-01_000001.tif,,7,,B70BC166-B7B3-49A8-88F9-D7AC38B79D69,13,713,386,299,0,53,84,2023-03-14 15:06:22.964000,2.375,1.8293,1,1491.4873,43.5778,43330.44,0.5843,112.5651,124.2381,129.3683,,,20129.853501131314,14273.661367574789,0,0,0,0,0,0,,,,0.0,0.0716,0.2606,13.9724,311.6577,0.3331,106.5267,41.8716,95.3777,454295.8,43.8648,-85,10,1.3165,0.4317,1511.2001,0,0.0239,298.7546,7.135,121.3286,128.9656,611.7793,1,,,,1.963,0,0,20.218,0,0,0,0,76437,0.3002,0.5431,66.7694,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:23,Dag_20230314_1m_4x-01_000001.tif,,8,,73BCCB3C-EF49-4BB3-B2D3-67E0816312B0,14,915,981,354,0,60,54,2023-03-14 15:06:23.131000,2.547,1.8293,1,3040.7016,62.2217,126131.8,0.6557,82.6403,90.6833,93.2824,,,34758.38767269935,12915.003775628244,0,0,0,0,0,0,,,,0.352,0.3536,0.7736,2.8279,259.4611,0.7931,73.0795,6.7356,78.6091,254341.3,62.4632,-50,55,0.7957,0.5569,3064.3497,0,0.1485,162.6004,24.1405,88.5708,90.5503,373.4818,1,,,,1.4395,0,0,39.3615,0,0,0,0,103185,0.1745,0.2085,64.9402,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:23,Dag_20230314_1m_4x-01_000001.tif,,9,,41278374-CFAC-451E-97A7-8CE8CEE22A6E,14,633,276,416,0,61,82,2023-03-14 15:06:23.131000,2.547,1.8293,1,1678.1281,46.224,51713.2,0.3295,114.1753,121.0014,124.806,,,47904.52063009376,20866.5751397626,0,0,0,0,0,0,,,,0.0,0.112,0.2539,8.9322,325.3617,0.4458,93.2348,26.023,99.7985,520439.6,46.2631,55,-30,0.7378,0.5754,1680.9687,0,0.0384,246.3655,9.4672,119.3836,141.7707,511.6655,1,,,,1.5726,0,0,23.1067,0,0,0,0,83091,0.2399,0.5368,46.6471,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:23,Dag_20230314_1m_4x-01_000001.tif,,10,,85F0980A-A158-44CC-B90A-9E9EF2D4A26F,15,386,1300,479,0,83,63,2023-03-14 15:06:23.299000,2.719,1.8293,1,2336.8233,54.5466,84977.24,0.5909,107.0984,105.3362,110.2011,,,51681.33766613643,24210.433589846725,0,0,0,0,0,0,,,,0.036,0.0488,0.3568,20.4852,355.5748,0.3347,177.7215,62.34,109.3515,684656.5,54.5466,25,-80,2.2671,0.3061,2336.8233,0,0.016,439.2777,7.0465,106.4195,134.4536,892.6484,1,,,,2.5104,0,0,27.1791,0,0,0,0,98438,0.2867,0.5012,79.5746,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:23,Dag_20230314_1m_4x-01_000001.tif,,11,,98C28523-0845-4045-933F-4A2A92C1D95A,16,844,976,564,0,27,34,2023-03-14 15:06:23.465000,2.875,1.8293,1,510.5666,25.4965,8678.455,0.6354,95.8464,101.9925,104.0412,,,29410.37139688417,9234.655425817875,0,0,0,0,0,0,,,,0.5731,0.7217,0.7937,1.3856,107.8482,0.9834,104.614,1.7963,30.4375,14764.76,25.4965,-85,0,0.0683,0.9361,510.5666,0,0.5567,40.0621,22.3022,100.3858,37.5007,124.7286,1,,,,1.1565,0,0,32.7984,0,0,0,0,26803,0.4221,0.1623,22.8663,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:23,Dag_20230314_1m_4x-01_000001.tif,,12,,A3C3F873-E29F-41BF-96FD-6EDA46848A88,16,915,202,593,0,25,28,2023-03-14 15:06:23.465000,2.875,1.8293,1,349.8378,21.1051,4922.252,0.8504,124.9554,133.6782,137.3812,,,29708.29371838655,8395.570894580344,0,0,0,0,0,0,,,,0.884,0.8998,0.9827,1.1113,82.7207,1.0,36.4773,1.0,22.4597,5932.158,21.1051,-80,0,0.0,1.092,349.8378,0,1.0,24.2898,24.2898,131.5,26.5249,97.1591,1,,,,1.1745,0,0,14.973,0,0,0,0,26563,0.871,0.0603,19.2077,object,,,,
Dag_20230314_1m_4x-01,2023-03-14,15:06:23,Dag_20230314_1m_4x-01_000001.tif,,13,,F70FA3B1-3F05-4730-B9C3-E9F88A49CA78,17,691,600,620,0,93,83,2023-03-14 15:06:23.632000,3.047,1.8293,1,3533.4503,67.0741,158001.9,0.8415,121.4147,131.0225,135.3922,,,36675.903294666656,27458.09581226649,0,0,0,0,0,0,,,,0.0887,0.0558,0.3895,17.9172,425.5623,0.3261,52.189,54.2701,131.5572,1192181.0,67.2154,0,25,2.5198,0.2841,3548.3547,0,0.0184,492.5708,9.0763,128.6221,139.9415,1003.2941,3,,,,2.3576,0,0,17.0192,0,0,0,0,171196,0.2298,0.4902,123.4778,object,,,,
